interval_begin;interval_end;interval_id;interval_sampledSeconds;interval_departed;interval_arrived;interval_entered;interval_left;interval_density;interval_laneDensity;interval_occupancy;interval_waitingTime;interval_timeLoss;interval_speed;interval_vaporized;typedInterval_begin;typedInterval_end;typedInterval_id;typedInterval_type;typedInterval_departed;typedInterval_arrived;typedInterval_entered;typedInterval_left;typedInterval_sampledSeconds;typedInterval_density;typedInterval_occupancy;typedInterval_waitingTime;typedInterval_timeLoss;typedInterval_speed;typedInterval_vaporized
28800.00;29700.00;e1Detector_-103281163#2_0_1167;0.00;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-114254840#1_0_74;133.39;0;0;126;126;10.44;5.22;2.61;0.00;2.65;13.40;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-114254840#1_1_75;133.39;0;0;126;126;10.44;5.22;2.61;0.00;2.65;13.40;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-114255526_0_252;2314.17;0;0;169;163;24.51;12.25;6.13;0.00;159.72;7.60;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-114255526_1_253;2314.17;0;0;169;163;24.51;12.25;6.13;0.00;159.72;7.60;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-122857296#1_0_435;851.53;0;0;124;124;10.57;10.57;5.29;0.00;53.38;13.03;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-122857296#1_0_506;864.39;0;0;124;123;10.73;10.73;5.37;0.00;71.74;12.75;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-134123085#2_0_328;1536.72;0;0;318;314;25.77;12.89;6.44;0.00;12.69;13.63;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-134123085#2_1_329;1536.72;0;0;318;314;25.77;12.89;6.44;0.00;12.69;13.63;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-134575642_1_191;0.00;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-141433955_0_527;660.17;0;0;197;197;16.47;8.23;4.12;0.00;16.17;13.29;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-141433955_1_526;660.17;0;0;197;197;16.47;8.23;4.12;0.00;16.17;13.29;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-143303450_0_388;0.00;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-143304972#1_0_189;0.00;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-143304972#1_1_190;0.00;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-146645330_0_1489;557.04;0;0;73;72;6.22;6.22;3.11;0.00;31.44;12.99;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-146800313#2_0_139;5211.02;0;0;198;180;116.73;38.91;19.46;0.00;4522.85;1.83;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-146800313#2_1_138;5211.02;0;0;198;180;116.73;38.91;19.46;0.00;4522.85;1.83;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-146800313#2_2_137;5211.02;0;0;198;180;116.73;38.91;19.46;0.00;4522.85;1.83;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-147926678#4_0_82;405.05;0;13;56;43;4.92;2.46;1.23;0.00;26.40;12.65;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-147926678#4_1_83;405.05;0;13;56;43;4.92;2.46;1.23;0.00;26.40;12.65;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-151087449#2_0_501;355.90;0;0;50;50;4.18;4.18;2.09;0.00;13.02;13.29;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-151087452#4_0_1057;192.72;0;0;26;24;2.19;2.19;1.09;0.00;6.45;12.95;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-151145694_0_886;365.01;0;0;48;48;3.94;1.97;0.98;0.00;5.79;13.54;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-151754277#1_1_1010;235.79;0;0;121;120;10.09;5.05;2.52;0.00;9.98;13.22;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-151782111#2_0_602;505.35;12;7;79;84;7.71;2.57;1.29;0.00;24.56;13.11;;;;;;;;;;;;;;;;
28800.00;29700.00;e1Detector_-151782111#2_1_603;505.35;12;7;79;84;7.71;2.57;1.29;0.00;24.56;13.11;;;;;;;;;;;;;;;;
