$OR;D2 
* From-Time  To-Time 
08.00 09.00
* Factor 
1.00
9162000 9162000 0
9162000 9162025 10
9162000 9162028 2
9162000 9162038 13
9162000 9162043 3
9162000 9162044 2
9162000 9162045 1
9162000 9162046 1
9162000 9162047 1
9162000 9162048 1
9162000 9162058 0
9162000 9162059 0
9162000 9162060 0
9162000 9162061 0
9162000 9162062 0
9162000 9162063 1
9162000 9162064 5
9162000 9162065 1
9162000 9162066 1
9162000 9162067 3
9162000 9162068 3
9162000 9162069 7
9162000 9162070 2
9162000 9162071 1
9162000 9162072 3
9162000 9162074 1
9162000 9162075 3
9162000 9162078 4
9162000 9162084 18
9162000 9162085 7
9162000 9162087 0
9162000 9162090 1
9162000 9162091 1
9162000 9162092 3
9162000 9162094 1
9162000 9162095 0
9162000 9162099 1
9162000 9162101 1
9162000 9162104 4
9162000 9162105 3
9162000 9162108 0
9162000 9162109 1
9162000 9162110 1
9162000 9162111 6
9162000 9162112 0
9162000 9162113 1
9162000 9162122 1
9162000 9162123 6
9162000 9162124 1
9162000 9162125 1
9162000 9162126 10
9162000 9162127 1
9162000 9162129 1
9162000 9162132 0
9162000 9162133 1
9162000 9162140 1
9162000 9162159 1
9162000 9162160 5
9162000 9162161 1
9162000 9162162 2
9162000 9162163 0
9162025 9162000 9
9162025 9162025 0
9162025 9162028 8
9162025 9162038 32
9162025 9162043 7
9162025 9162044 3
9162025 9162045 2
9162025 9162046 1
9162025 9162047 1
9162025 9162048 1
9162025 9162058 1
9162025 9162059 0
9162025 9162060 0
9162025 9162061 1
9162025 9162062 0
9162025 9162063 0
9162025 9162064 11
9162025 9162065 3
9162025 9162066 5
9162025 9162067 6
9162025 9162068 6
9162025 9162069 9
9162025 9162070 8
9162025 9162071 2
9162025 9162072 5
9162025 9162074 2
9162025 9162075 5
9162025 9162078 8
9162025 9162084 32
9162025 9162085 11
9162025 9162087 1
9162025 9162090 2
9162025 9162091 1
9162025 9162092 5
9162025 9162094 1
9162025 9162095 1
9162025 9162099 1
9162025 9162101 3
9162025 9162104 8
9162025 9162105 5
9162025 9162108 1
9162025 9162109 1
9162025 9162110 1
9162025 9162111 17
9162025 9162112 1
9162025 9162113 1
9162025 9162122 2
9162025 9162123 12
9162025 9162124 4
9162025 9162125 6
9162025 9162126 25
9162025 9162127 6
9162025 9162129 5
9162025 9162132 1
9162025 9162133 1
9162025 9162140 3
9162025 9162159 1
9162025 9162160 9
9162025 9162161 1
9162025 9162162 5
9162025 9162163 0
9162028 9162000 3
9162028 9162025 9
9162028 9162028 14
9162028 9162038 27
9162028 9162043 5
9162028 9162044 2
9162028 9162045 1
9162028 9162046 1
9162028 9162047 1
9162028 9162048 3
9162028 9162058 1
9162028 9162059 0
9162028 9162060 1
9162028 9162061 1
9162028 9162062 1
9162028 9162063 1
9162028 9162064 9
9162028 9162065 4
9162028 9162066 6
9162028 9162067 6
9162028 9162068 9
9162028 9162069 5
9162028 9162070 15
9162028 9162071 3
9162028 9162072 4
9162028 9162074 1
9162028 9162075 6
9162028 9162078 7
9162028 9162084 11
9162028 9162085 7
9162028 9162087 1
9162028 9162090 1
9162028 9162091 1
9162028 9162092 16
9162028 9162094 1
9162028 9162095 1
9162028 9162099 1
9162028 9162101 4
9162028 9162104 5
9162028 9162105 3
9162028 9162108 0
9162028 9162109 1
9162028 9162110 1
9162028 9162111 11
9162028 9162112 1
9162028 9162113 2
9162028 9162122 5
9162028 9162123 15
9162028 9162124 5
9162028 9162125 8
9162028 9162126 31
9162028 9162127 14
9162028 9162129 4
9162028 9162132 0
9162028 9162133 1
9162028 9162140 3
9162028 9162159 1
9162028 9162160 11
9162028 9162161 2
9162028 9162162 5
9162028 9162163 1
9162038 9162000 7
9162038 9162025 14
9162038 9162028 9
9162038 9162038 1803
9162038 9162043 186
9162038 9162044 149
9162038 9162045 40
9162038 9162046 14
9162038 9162047 23
9162038 9162048 27
9162038 9162058 17
9162038 9162059 10
9162038 9162060 8
9162038 9162061 24
9162038 9162062 17
9162038 9162063 8
9162038 9162064 198
9162038 9162065 115
9162038 9162066 121
9162038 9162067 85
9162038 9162068 40
9162038 9162069 5
9162038 9162070 11
9162038 9162071 40
9162038 9162072 22
9162038 9162074 38
9162038 9162075 93
9162038 9162078 44
9162038 9162084 30
9162038 9162085 20
9162038 9162087 17
9162038 9162090 19
9162038 9162091 14
9162038 9162092 8
9162038 9162094 29
9162038 9162095 16
9162038 9162099 12
9162038 9162101 41
9162038 9162104 84
9162038 9162105 18
9162038 9162108 17
9162038 9162109 23
9162038 9162110 11
9162038 9162111 11
9162038 9162112 19
9162038 9162113 32
9162038 9162122 12
9162038 9162123 81
9162038 9162124 8
9162038 9162125 8
9162038 9162126 56
9162038 9162127 8
9162038 9162129 46
9162038 9162132 20
9162038 9162133 19
9162038 9162140 31
9162038 9162159 13
9162038 9162160 209
9162038 9162161 66
9162038 9162162 51
9162038 9162163 17
9162043 9162000 2
9162043 9162025 4
9162043 9162028 5
9162043 9162038 237
9162043 9162043 0
9162043 9162044 57
9162043 9162045 9
9162043 9162046 4
9162043 9162047 6
9162043 9162048 8
9162043 9162058 4
9162043 9162059 2
9162043 9162060 1
9162043 9162061 6
9162043 9162062 4
9162043 9162063 3
9162043 9162064 60
9162043 9162065 25
9162043 9162066 58
9162043 9162067 54
9162043 9162068 15
9162043 9162069 1
9162043 9162070 4
9162043 9162071 14
9162043 9162072 13
9162043 9162074 8
9162043 9162075 27
9162043 9162078 34
9162043 9162084 12
9162043 9162085 10
9162043 9162087 4
9162043 9162090 7
9162043 9162091 2
9162043 9162092 3
9162043 9162094 6
9162043 9162095 4
9162043 9162099 2
9162043 9162101 15
9162043 9162104 29
9162043 9162105 6
9162043 9162108 1
9162043 9162109 2
9162043 9162110 2
9162043 9162111 2
9162043 9162112 4
9162043 9162113 7
9162043 9162122 3
9162043 9162123 17
9162043 9162124 2
9162043 9162125 3
9162043 9162126 22
9162043 9162127 2
9162043 9162129 19
9162043 9162132 4
9162043 9162133 3
9162043 9162140 7
9162043 9162159 4
9162043 9162160 42
9162043 9162161 10
9162043 9162162 19
9162043 9162163 5
9162044 9162000 1
9162044 9162025 4
9162044 9162028 3
9162044 9162038 246
9162044 9162043 77
9162044 9162044 0
9162044 9162045 22
9162044 9162046 8
9162044 9162047 11
9162044 9162048 12
9162044 9162058 4
9162044 9162059 3
9162044 9162060 1
9162044 9162061 6
9162044 9162062 5
9162044 9162063 1
9162044 9162064 48
9162044 9162065 20
9162044 9162066 33
9162044 9162067 47
9162044 9162068 14
9162044 9162069 1
9162044 9162070 4
9162044 9162071 10
9162044 9162072 8
9162044 9162074 6
9162044 9162075 33
9162044 9162078 32
9162044 9162084 10
9162044 9162085 11
9162044 9162087 3
9162044 9162090 24
9162044 9162091 6
9162044 9162092 3
9162044 9162094 5
9162044 9162095 1
9162044 9162099 6
9162044 9162101 12
9162044 9162104 34
9162044 9162105 11
9162044 9162108 6
9162044 9162109 11
9162044 9162110 11
9162044 9162111 3
9162044 9162112 8
9162044 9162113 8
9162044 9162122 1
9162044 9162123 18
9162044 9162124 1
9162044 9162125 3
9162044 9162126 17
9162044 9162127 1
9162044 9162129 15
9162044 9162132 15
9162044 9162133 14
9162044 9162140 17
9162044 9162159 8
9162044 9162160 88
9162044 9162161 45
9162044 9162162 14
9162044 9162163 6
9162045 9162000 1
9162045 9162025 1
9162045 9162028 1
9162045 9162038 57
9162045 9162043 14
9162045 9162044 25
9162045 9162045 0
9162045 9162046 9
9162045 9162047 4
9162045 9162048 9
9162045 9162058 1
9162045 9162059 0
9162045 9162060 1
9162045 9162061 3
9162045 9162062 1
9162045 9162063 0
9162045 9162064 21
9162045 9162065 6
9162045 9162066 7
9162045 9162067 8
9162045 9162068 2
9162045 9162069 0
9162045 9162070 1
9162045 9162071 2
9162045 9162072 3
9162045 9162074 2
9162045 9162075 15
9162045 9162078 8
9162045 9162084 3
9162045 9162085 2
9162045 9162087 2
9162045 9162090 10
9162045 9162091 4
9162045 9162092 1
9162045 9162094 1
9162045 9162095 0
9162045 9162099 6
9162045 9162101 2
9162045 9162104 6
