-103281163#2,0,0,0
-114254840#1,1155,11,22
-114255526,881,2,93
-122857296#1,629,8,30
-134123085#2,926,3,176
-134575642,0,0,0
-141433955,1754,10,34
-143303450,0,0,0
-143304972#1,0,0,0
-146645330,346,12,9
-146800313#2,898,0,308
-147926678#4,540,2,111
-151087449#2,236,10,19
-151087452#4,219,7,35
-151145694,251,9,29
-151754277#1,647,11,23
-151782111#2,524,5,26
-151860715,0,0,0
-151878378,512,7,45
-151945454#2,0,0,0
-151996169,543,6,44
-152110769,0,0,0
-152468885#2,1044,12,14
-153470059#2,608,1,253
-155603789#1,471,11,13
-157798419,915,4,75
-158901369,64,12,1
-167443079,3018,5,109
-168719672,638,6,55
-176837682,1557,10,36
-185529649,0,0,0
-18959384,1014,13,13
-218270484#1,751,9,20
-232867856,190,4,60
-23967821,1218,12,17
-241052498#1,1410,6,63
-256851512,0,0,0
-25943198,87,13,4
-260345666,531,12,14
-260510503,1131,11,10
-264448401#5,1,3,0
-26753700#1,1102,11,28
-27145307#2,673,11,27
-280614998,297,6,48
-292914314#2,628,11,11
-292944725#1,636,7,48
-29448442#1,909,12,16
-29461886#1,217,12,2
-304423860#1,440,4,71
-304504212,326,2,93
-30816922#3,1857,11,20
-30917885#1,1186,4,204
-310707192#1,701,7,85
-310719822,1006,12,14
-31130637,0,0,0
-31159465,5395,13,16
-311960667,552,12,24
-314095467,828,16,8
-315156359#2,774,3,50
-315156367#2,128,9,12
-315202560#1,4,1,0
-315825107,818,2,169
-323443316#2,1229,12,8
-32958394#2,1901,13,18
-334724792,0,0,0
-340783854,0,0,0
-34182814,684,5,47
-34567685#1,40,13,0
-35108720#3,281,12,7
-3654343,357,4,82
-366231807#3,256,10,15
-366721040#2,775,12,13
-368992148,203,12,5
-36914644,1287,12,17
-372036333#2,85,13,2
-37427647#2,378,11,11
-37665392,1571,3,165
-37665415#2,1399,3,144
-37665502#6,950,4,73
-37665691#2,0,0,0
-37665849,413,15,9
-37760229#1,134,12,6
-377759895,0,0,0
-381802254,110,13,1
-38349485#1,2028,4,115
-3845812#1,262,7,23
-39168607,211,12,5
-41532483,131,13,1
-41821146#2,1252,12,11
-41821147#2,673,13,8
-41821148#2,531,12,16
-419896645,0,0,0
-419896654,0,0,0
-42150869,997,13,14
-42446215,1213,11,20
-4363555,0,0,0
-4481108#1,0,0,0
-4543482#2,78,12,4
-4591307,832,4,155
-4645383#1,188,11,10
-46737749,0,0,0
-49075255#4,0,0,0
-500266712,0,0,0
-51476080,439,5,59
-51508352#4,468,5,58
-53178982,241,13,1
-53298708#2,1660,13,12
