$OR;D2 
* From-Time  To-Time 
08.00 09.00
* Factor 
1.00
4 4 0
4 6 15
4 7 16
4 13 28
4 17 23
4 18 5
4 21 8
4 22 15
4 23 20
6 4 17
6 6 0
6 7 18
6 13 7
6 17 20
6 18 4
6 21 4
6 22 8
6 23 5
7 4 16
7 6 20
7 7 0
7 13 19
7 17 46
7 18 9
7 21 8
7 22 23
7 23 9
13 4 20
13 6 10
13 7 21
13 13 0
13 17 23
13 18 4
13 21 25
13 22 62
13 23 43
17 4 23
17 6 25
17 7 54
17 13 21
17 17 0
17 18 27
17 21 20
17 22 90
17 23 27
18 4 4
18 6 3
18 7 7
18 13 3
18 17 25
18 18 0
18 21 4
18 22 14
18 23 4
21 4 8
21 6 6
21 7 9
21 13 20
21 17 25
21 18 4
21 21 0
21 22 94
21 23 38
22 4 19
22 6 9
22 7 26
22 13 50
22 17 78
22 18 13
22 21 74
22 22 0
22 23 112
23 4 26
23 6 4
23 7 9
23 13 30
23 17 27
23 18 3
23 21 37
23 22 89
23 23 0
