o d t
12_5 12_5 0
12_5 13_16 5
12_5 14_7 0
12_5 15_14 2
12_5 16_10 2
12_5 16_11 6
12_5 17_12 2
12_5 17_6 7
12_5 20_10 1
12_5 21_10 0
12_5 22_11 3
12_5 3_12 3
12_5 4_3 0
12_5 4_7 48
12_5 5_11 0
12_5 5_3 1
12_5 6_0 2
12_5 6_14 12
12_5 6_5 7
12_5 7_2 2
12_5 8_4 14
12_5 8_9 14
12_5 9_11 12
12_5 9_7 0
13_16 12_5 23
13_16 13_16 0
13_16 14_7 22
13_16 15_14 19
13_16 16_10 0
13_16 16_11 0
13_16 17_12 0
13_16 17_6 5
13_16 20_10 2
13_16 21_10 0
13_16 22_11 4
13_16 3_12 0
13_16 4_3 63
13_16 4_7 21
13_16 5_11 0
13_16 5_3 3
13_16 6_0 1
13_16 6_14 0
13_16 6_5 3
13_16 7_2 0
13_16 8_4 3
13_16 8_9 4
13_16 9_11 35
13_16 9_7 32
14_7 12_5 1
14_7 13_16 4
14_7 14_7 0
14_7 15_14 0
14_7 16_10 7
14_7 16_11 5
14_7 17_12 5
14_7 17_6 0
14_7 20_10 2
14_7 21_10 21
14_7 22_11 11
14_7 3_12 6
14_7 4_3 1
14_7 4_7 14
14_7 5_11 5
14_7 5_3 16
14_7 6_0 1
14_7 6_14 2
14_7 6_5 3
14_7 7_2 4
14_7 8_4 3
14_7 8_9 15
14_7 9_11 0
14_7 9_7 28
15_14 12_5 4
15_14 13_16 13
15_14 14_7 1
15_14 15_14 0
15_14 16_10 1
15_14 16_11 10
15_14 17_12 1
15_14 17_6 2
15_14 20_10 13
15_14 21_10 5
15_14 22_11 22
15_14 3_12 1
15_14 4_3 3
15_14 4_7 0
15_14 5_11 15
15_14 5_3 12
15_14 6_0 1
15_14 6_14 11
15_14 6_5 1
15_14 7_2 8
15_14 8_4 6
15_14 8_9 3
15_14 9_11 0
15_14 9_7 18
16_10 12_5 0
16_10 13_16 35
16_10 14_7 4
16_10 15_14 0
16_10 16_10 0
16_10 16_11 1
16_10 17_12 10
16_10 17_6 34
16_10 20_10 2
16_10 21_10 5
16_10 22_11 6
16_10 3_12 1
16_10 4_3 6
16_10 4_7 2
16_10 5_11 1
16_10 5_3 4
16_10 6_0 24
16_10 6_14 6
16_10 6_5 2
16_10 7_2 2
16_10 8_4 2
16_10 8_9 1
16_10 9_11 1
16_10 9_7 4
16_11 12_5 5
16_11 13_16 0
16_11 14_7 1
16_11 15_14 1
16_11 16_10 0
16_11 16_11 0
16_11 17_12 8
16_11 17_6 9
16_11 20_10 8
16_11 21_10 0
16_11 22_11 2
16_11 3_12 2
16_11 4_3 22
16_11 4_7 17
16_11 5_11 0
16_11 5_3 15
16_11 6_0 0
16_11 6_14 7
16_11 6_5 4
16_11 7_2 3
16_11 8_4 1
16_11 8_9 1
16_11 9_11 2
16_11 9_7 1
17_12 12_5 20
17_12 13_16 0
17_12 14_7 0
17_12 15_14 4
17_12 16_10 2
17_12 16_11 6
17_12 17_12 0
17_12 17_6 3
17_12 20_10 1
17_12 21_10 1
17_12 22_11 4
17_12 3_12 5
17_12 4_3 17
17_12 4_7 2
17_12 5_11 11
17_12 5_3 1
17_12 6_0 1
17_12 6_14 3
17_12 6_5 0
17_12 7_2 0
17_12 8_4 5
17_12 8_9 7
17_12 9_11 5
17_12 9_7 2
17_6 12_5 2
17_6 13_16 4
17_6 14_7 3
17_6 15_14 3
17_6 16_10 1
17_6 16_11 7
17_6 17_12 4
17_6 17_6 0
17_6 20_10 1
17_6 21_10 1
17_6 22_11 25
17_6 3_12 1
17_6 4_3 1
17_6 4_7 3
17_6 5_11 1
17_6 5_3 3
17_6 6_0 6
17_6 6_14 3
17_6 6_5 12
17_6 7_2 1
17_6 8_4 2
17_6 8_9 1
17_6 9_11 6
17_6 9_7 0
20_10 12_5 3
20_10 13_16 55
20_10 14_7 12
20_10 15_14 3
20_10 16_10 3
20_10 16_11 3
20_10 17_12 10
20_10 17_6 1
20_10 20_10 0
20_10 21_10 0
20_10 22_11 8
20_10 3_12 31
20_10 4_3 1
20_10 4_7 26
20_10 5_11 11
20_10 5_3 5
20_10 6_0 2
20_10 6_14 2
20_10 6_5 18
20_10 7_2 13
20_10 8_4 0
20_10 8_9 3
20_10 9_11 1
20_10 9_7 10
21_10 12_5 2
21_10 13_16 32
21_10 14_7 4
21_10 15_14 2
21_10 16_10 6
21_10 16_11 5
21_10 17_12 7
21_10 17_6 4
21_10 20_10 2
21_10 21_10 0
21_10 22_11 2
21_10 3_12 2
21_10 4_3 5
21_10 4_7 1
21_10 5_11 2
21_10 5_3 29
21_10 6_0 3
21_10 6_14 4
21_10 6_5 17
21_10 7_2 10
21_10 8_4 2
21_10 8_9 2
21_10 9_11 1
21_10 9_7 2
22_11 12_5 1
22_11 13_16 3
22_11 14_7 2
22_11 15_14 0
22_11 16_10 1
22_11 16_11 1
22_11 17_12 0
22_11 17_6 16
22_11 20_10 4
22_11 21_10 2
22_11 22_11 0
22_11 3_12 12
22_11 4_3 3
22_11 4_7 10
22_11 5_11 13
22_11 5_3 4
22_11 6_0 46
22_11 6_14 5
22_11 6_5 2
22_11 7_2 1
22_11 8_4 1
22_11 8_9 1
22_11 9_11 7
22_11 9_7 4
3_12 12_5 2
3_12 13_16 5
3_12 14_7 1
3_12 15_14 1
3_12 16_10 4
3_12 16_11 3
3_12 17_12 4
3_12 17_6 4
3_12 20_10 4
3_12 21_10 3
3_12 22_11 0
3_12 3_12 0
3_12 4_3 4
3_12 4_7 7
3_12 5_11 7
3_12 5_3 42
3_12 6_0 12
3_12 6_14 5
3_12 6_5 2
3_12 7_2 10
3_12 8_4 2
3_12 8_9 1
3_12 9_11 3
3_12 9_7 1
4_3 12_5 4
4_3 13_16 3
4_3 14_7 93
4_3 15_14 1
4_3 16_10 6
4_3 16_11 4
4_3 17_12 9
4_3 17_6 6
4_3 20_10 5
4_3 21_10 4
4_3 22_11 7
4_3 3_12 0
4_3 4_3 0
4_3 4_7 1
4_3 5_11 13
4_3 5_3 4
4_3 6_0 4
4_3 6_14 2
4_3 6_5 3
